,team,player,rating,position,pos_rank,flex,flexRank
0,Red Zone  Rockets,A.J. Brown,19.64,WR,2.0,0,3.0
1,Red Zone  Rockets,Patrick Mahomes,19.98,QB,1.0,0,2.0
2,Red Zone  Rockets,Saquon Barkley,12.84,RB,1.0,0,7.0
3,Red Zone  Rockets,Tyreek Hill,30.38,WR,1.0,0,1.0
6,Red Zone  Rockets,Tee Higgins,13.46,WR,4.0,1,1.0
7,Red Zone  Rockets,Chase Claypool,15.0,WR,3.0,0,6.0
10,Red Zone  Rockets,Chuba Hubbard,11.44,RB,2.0,0,8.0
11,Red Zone  Rockets,Tyler Higbee,16.3,TE,1.0,0,5.0
17,Final Deztination,DK Metcalf,26.6,WR,1.0,0,2.0
20,Final Deztination,Travis Kelce,25.76,TE,1.0,0,3.0
21,Final Deztination,Aaron Jones,28.56,RB,1.0,0,1.0
23,Final Deztination,Lamar Jackson,17.86,QB,1.0,0,7.0
24,Final Deztination,Robert Woods,25.06,WR,2.0,0,4.0
25,Final Deztination,James Conner,18.1,RB,2.0,0,6.0
26,Final Deztination,Michael Pittman Jr.,21.5,WR,4.0,1,1.0
27,Final Deztination,Ja'Marr Chase,23.13,WR,3.0,0,5.0
35,Game of  Jones,Derrick Henry,31.15,RB,1.0,0,1.0
36,Game of  Jones,Cooper Kupp,29.32,WR,1.0,0,2.0
37,Game of  Jones,Amari Cooper,22.64,WR,3.0,0,5.0
38,Game of  Jones,Joe Mixon,26.8,RB,2.0,0,3.0
39,Game of  Jones,Stefon Diggs,22.56,WR,4.0,1,1.0
41,Game of  Jones,Mark Andrews,18.03,TE,1.0,0,6.0
43,Game of  Jones,Deebo Samuel,25.91,WR,2.0,0,4.0
48,Game of  Jones,Ryan Tannehill,16.32,QB,1.0,0,7.0
51,King's  Landry,Dalvin Cook,21.43,RB,1.0,0,3.0
52,King's  Landry,Darren Waller,17.95,TE,1.0,0,6.0
53,King's  Landry,Justin Jefferson,21.6,WR,2.0,0,2.0
55,King's  Landry,Chris Godwin,25.91,WR,1.0,0,1.0
56,King's  Landry,Calvin Ridley,15.1,WR,3.0,0,7.0
57,King's  Landry,Justin Herbert,18.09,QB,1.0,0,5.0
59,King's  Landry,Dallas Goedert,16.74,TE,2.0,1,1.0
61,King's  Landry,Chase Edmonds,20.2,RB,2.0,0,4.0
69,OC Gang,Davante Adams,24.4,WR,1.0,0,3.0
70,OC Gang,Jonathan Taylor,30.13,RB,2.0,0,2.0
71,OC Gang,DeAndre Hopkins,23.82,WR,2.0,0,4.0
73,OC Gang,Alvin Kamara,33.03,RB,1.0,0,1.0
74,OC Gang,Aaron Rodgers,18.44,QB,1.0,0,5.0
79,OC Gang,Darrell Henderson Jr.,21.41,RB,3.0,1,1.0
81,OC Gang,Jaylen Waddle,15.45,WR,3.0,0,7.0
82,OC Gang,Robert Tonyan,14.25,TE,1.0,0,8.0
85,Sutton these  Nutz,Keenan Allen,22.41,WR,1.0,0,2.0
86,Sutton these  Nutz,Courtland Sutton,17.0,WR,2.0,0,7.0
88,Sutton these  Nutz,D'Andre Swift,25.2,RB,1.0,0,1.0
89,Sutton these  Nutz,T.J. Hockenson,19.13,TE,1.0,0,5.0
90,Sutton these  Nutz,James Robinson,21.51,RB,3.0,1,1.0
91,Sutton these  Nutz,Leonard Fournette,21.64,RB,2.0,0,3.0
93,Sutton these  Nutz,Tom Brady,20.93,QB,1.0,0,4.0
97,Sutton these  Nutz,DeVonta Smith,11.64,WR,3.0,0,8.0
101,Da Coldest In the Game,Adam Thielen,22.63,WR,2.0,0,4.0
103,Da Coldest In the Game,Melvin Gordon III,19.12,RB,3.0,1,1.0
104,Da Coldest In the Game,Austin Ekeler,32.57,RB,1.0,0,1.0
106,Da Coldest In the Game,DJ Moore,21.78,WR,3.0,0,5.0
111,Da Coldest In the Game,Matthew Stafford,20.92,QB,1.0,0,6.0
112,Da Coldest In the Game,Najee Harris,31.07,RB,2.0,0,2.0
113,Da Coldest In the Game,Mike Evans,25.48,WR,1.0,0,3.0
114,Da Coldest In the Game,Mike Gesicki,19.2,TE,1.0,0,8.0
115,Team Ger,Josh Allen,22.72,QB,1.0,0,3.0
116,Team Ger,Ezekiel Elliott,27.38,RB,1.0,0,1.0
117,Team Ger,CeeDee Lamb,23.42,WR,1.0,0,2.0
119,Team Ger,Terry McLaurin,21.54,WR,2.0,0,4.0
121,Team Ger,Kyle Pitts,18.82,TE,1.0,0,7.0
125,Team Ger,Diontae Johnson,19.78,WR,3.0,0,6.0
127,Team Ger,Mike Williams,19.69,WR,4.0,1,1.0
129,Team Ger,Damien Harris,20.59,RB,2.0,0,5.0
