,team,player,rating,position,pos_rank,flex,flexRank
1,Red Zone  Rockets,Patrick Mahomes,19.26,QB,1.0,0,2.0
2,Red Zone  Rockets,Saquon Barkley,15.42,RB,1.0,0,6.0
3,Red Zone  Rockets,Tyreek Hill,28.94,WR,1.0,0,1.0
6,Red Zone  Rockets,Tee Higgins,17.16,WR,2.0,0,3.0
7,Red Zone  Rockets,Chase Claypool,16.17,WR,3.0,0,4.0
11,Red Zone  Rockets,Elijah Moore,14.75,WR,4.0,1,1.0
13,Red Zone  Rockets,Pat Freiermuth,15.26,TE,1.0,0,7.0
15,Red Zone  Rockets,Tevin Coleman,3.15,RB,2.0,0,8.0
16,Final Deztination,DK Metcalf,21.75,WR,2.0,0,5.0
18,Final Deztination,Christian McCaffrey,19.71,RB,3.0,1,1.0
19,Final Deztination,Travis Kelce,25.09,TE,1.0,0,2.0
20,Final Deztination,Aaron Jones,27.44,RB,1.0,0,1.0
22,Final Deztination,Lamar Jackson,16.29,QB,1.0,0,7.0
24,Final Deztination,James Conner,23.86,RB,2.0,0,4.0
25,Final Deztination,Michael Pittman Jr.,20.98,WR,3.0,0,6.0
26,Final Deztination,Ja'Marr Chase,24.05,WR,1.0,0,3.0
34,Game of  Jones,Derrick Henry,27.53,RB,2.0,0,3.0
35,Game of  Jones,Cooper Kupp,30.14,WR,1.0,0,2.0
36,Game of  Jones,Amari Cooper,17.35,WR,3.0,0,6.0
37,Game of  Jones,Joe Mixon,27.34,RB,3.0,1,1.0
38,Game of  Jones,Russell Wilson,15.1,QB,1.0,0,7.0
39,Game of  Jones,Mark Andrews,23.9,TE,1.0,0,5.0
40,Game of  Jones,Deebo Samuel,24.69,WR,2.0,0,4.0
47,Game of  Jones,Austin Ekeler,34.53,RB,1.0,0,1.0
50,King's  Landry,Dalvin Cook,27.6,RB,1.0,0,2.0
51,King's  Landry,Darren Waller,15.71,TE,2.0,1,1.0
52,King's  Landry,Justin Jefferson,29.89,WR,1.0,0,1.0
53,King's  Landry,Clyde Edwards-Helaire,16.68,RB,2.0,0,6.0
54,King's  Landry,Chris Godwin,25.87,WR,2.0,0,3.0
56,King's  Landry,Justin Herbert,21.15,QB,1.0,0,4.0
58,King's  Landry,Dallas Goedert,18.15,TE,1.0,0,5.0
63,King's  Landry,Van Jefferson,15.18,WR,3.0,0,7.0
65,OC Gang,George Kittle,24.68,TE,1.0,0,4.0
66,OC Gang,Davante Adams,30.15,WR,1.0,0,2.0
67,OC Gang,Jonathan Taylor,35.31,RB,1.0,0,1.0
68,OC Gang,DeAndre Hopkins,20.26,WR,2.0,0,5.0
70,OC Gang,Alvin Kamara,28.08,RB,2.0,0,3.0
71,OC Gang,Aaron Rodgers,19.47,QB,1.0,0,6.0
76,OC Gang,Jaylen Waddle,19.34,WR,3.0,0,7.0
79,OC Gang,Javonte Williams,21.41,RB,3.0,1,1.0
83,Sutton these  Nutz,Keenan Allen,22.2,WR,1.0,0,3.0
84,Sutton these  Nutz,Courtland Sutton,10.37,WR,3.0,0,8.0
86,Sutton these  Nutz,D'Andre Swift,19.78,RB,3.0,1,1.0
87,Sutton these  Nutz,T.J. Hockenson,16.31,TE,1.0,0,5.0
90,Sutton these  Nutz,Leonard Fournette,28.17,RB,1.0,0,1.0
91,Sutton these  Nutz,Tom Brady,21.68,QB,1.0,0,4.0
92,Sutton these  Nutz,Antonio Gibson,22.37,RB,2.0,0,2.0
94,Sutton these  Nutz,DeVonta Smith,12.39,WR,2.0,0,7.0
101,Da Coldest In the Game,Tyler Lockett,20.75,WR,4.0,1,1.0
103,Da Coldest In the Game,Noah Fant,17.41,TE,1.0,0,7.0
104,Da Coldest In the Game,DJ Moore,21.33,WR,3.0,0,4.0
106,Da Coldest In the Game,Matthew Stafford,19.7,QB,1.0,0,6.0
107,Da Coldest In the Game,Najee Harris,31.65,RB,1.0,0,1.0
108,Da Coldest In the Game,Mike Evans,24.89,WR,1.0,0,2.0
111,Da Coldest In the Game,Cordarrelle Patterson,20.26,RB,2.0,0,5.0
112,Da Coldest In the Game,Stefon Diggs,24.84,WR,2.0,0,3.0
113,Team Ger,Josh Allen,18.28,QB,1.0,0,6.0
114,Team Ger,Ezekiel Elliott,28.32,RB,1.0,0,1.0
115,Team Ger,CeeDee Lamb,22.96,WR,2.0,0,3.0
118,Team Ger,David Montgomery,19.79,RB,2.0,0,5.0
119,Team Ger,Kyle Pitts,18.24,TE,1.0,0,7.0
122,Team Ger,Diontae Johnson,25.7,WR,1.0,0,2.0
124,Team Ger,Mike Williams,20.65,WR,3.0,0,4.0
126,Team Ger,Damien Harris,17.64,RB,3.0,1,1.0
