,team,player,rating,position,pos_rank,flex,flexRank
1,Red Zone  Rockets,Patrick Mahomes,20.27,QB,1.0,0,2.0
2,Red Zone  Rockets,Saquon Barkley,13.24,RB,1.0,0,7.0
3,Red Zone  Rockets,Tyreek Hill,31.58,WR,1.0,0,1.0
6,Red Zone  Rockets,Tee Higgins,14.95,WR,4.0,1,1.0
7,Red Zone  Rockets,Chase Claypool,16.46,WR,3.0,0,4.0
11,Red Zone  Rockets,Elijah Moore,16.57,WR,2.0,0,3.0
13,Red Zone  Rockets,Pat Freiermuth,13.6,TE,1.0,0,6.0
15,Red Zone  Rockets,Tevin Coleman,4.38,RB,2.0,0,9.0
16,Final Deztination,DK Metcalf,21.58,WR,2.0,0,5.0
18,Final Deztination,Christian McCaffrey,22.71,RB,2.0,0,3.0
19,Final Deztination,Travis Kelce,28.29,TE,1.0,0,1.0
20,Final Deztination,Aaron Jones,24.27,RB,1.0,0,2.0
22,Final Deztination,Lamar Jackson,17.4,QB,1.0,0,7.0
24,Final Deztination,James Conner,21.64,RB,3.0,1,1.0
25,Final Deztination,Michael Pittman Jr.,19.43,WR,3.0,0,6.0
26,Final Deztination,Ja'Marr Chase,22.49,WR,1.0,0,4.0
34,Game of  Jones,Derrick Henry,29.01,RB,3.0,1,1.0
35,Game of  Jones,Cooper Kupp,29.16,WR,1.0,0,3.0
37,Game of  Jones,Joe Mixon,30.64,RB,2.0,0,2.0
38,Game of  Jones,Russell Wilson,13.94,QB,1.0,0,7.0
39,Game of  Jones,Mark Andrews,23.77,TE,1.0,0,5.0
40,Game of  Jones,Deebo Samuel,25.92,WR,2.0,0,4.0
41,Game of  Jones,Marquise Brown,17.43,WR,3.0,0,6.0
47,Game of  Jones,Austin Ekeler,36.75,RB,1.0,0,1.0
50,King's  Landry,Dalvin Cook,24.18,RB,1.0,0,2.0
51,King's  Landry,Darren Waller,18.74,TE,1.0,0,5.0
52,King's  Landry,Justin Jefferson,28.46,WR,1.0,0,1.0
53,King's  Landry,Clyde Edwards-Helaire,16.58,RB,2.0,0,6.0
54,King's  Landry,Chris Godwin,23.88,WR,2.0,0,3.0
56,King's  Landry,Justin Herbert,21.4,QB,1.0,0,4.0
58,King's  Landry,Dallas Goedert,14.88,TE,2.0,1,1.0
65,King's  Landry,Van Jefferson,13.52,WR,3.0,0,8.0
66,OC Gang,George Kittle,18.8,TE,1.0,0,5.0
67,OC Gang,Davante Adams,27.97,WR,1.0,0,2.0
68,OC Gang,Jonathan Taylor,36.32,RB,1.0,0,1.0
69,OC Gang,DeAndre Hopkins,17.02,WR,3.0,0,8.0
71,OC Gang,Alvin Kamara,27.15,RB,2.0,0,3.0
73,OC Gang,Myles Gaskin,24.71,RB,3.0,1,1.0
74,OC Gang,Jalen Hurts,17.81,QB,1.0,0,6.0
79,OC Gang,Jaylen Waddle,21.26,WR,2.0,0,4.0
84,Sutton these  Nutz,Keenan Allen,22.96,WR,1.0,0,3.0
85,Sutton these  Nutz,Courtland Sutton,14.8,WR,2.0,0,7.0
87,Sutton these  Nutz,D'Andre Swift,24.33,RB,2.0,0,2.0
88,Sutton these  Nutz,T.J. Hockenson,19.86,TE,1.0,0,4.0
90,Sutton these  Nutz,Leonard Fournette,27.97,RB,1.0,0,1.0
91,Sutton these  Nutz,Tom Brady,19.41,QB,1.0,0,5.0
92,Sutton these  Nutz,Antonio Gibson,22.39,RB,3.0,1,1.0
94,Sutton these  Nutz,DeVonta Smith,14.22,WR,3.0,0,8.0
99,Da Coldest In the Game,Adam Thielen,25.36,WR,2.0,0,3.0
102,Da Coldest In the Game,Noah Fant,17.52,TE,1.0,0,7.0
103,Da Coldest In the Game,DJ Moore,20.6,WR,4.0,1,1.0
105,Da Coldest In the Game,Matthew Stafford,19.01,QB,1.0,0,6.0
106,Da Coldest In the Game,Najee Harris,29.25,RB,1.0,0,1.0
107,Da Coldest In the Game,Mike Evans,24.17,WR,3.0,0,4.0
111,Da Coldest In the Game,Cordarrelle Patterson,21.01,RB,2.0,0,5.0
112,Da Coldest In the Game,Stefon Diggs,27.56,WR,1.0,0,2.0
113,Team Ger,Josh Allen,19.71,QB,1.0,0,5.0
114,Team Ger,Ezekiel Elliott,29.83,RB,1.0,0,1.0
115,Team Ger,CeeDee Lamb,21.19,WR,4.0,1,1.0
117,Team Ger,Terry McLaurin,22.32,WR,2.0,0,3.0
119,Team Ger,Kyle Pitts,18.41,TE,1.0,0,7.0
122,Team Ger,Diontae Johnson,23.66,WR,1.0,0,2.0
124,Team Ger,Mike Williams,21.52,WR,3.0,0,4.0
126,Team Ger,Damien Harris,19.42,RB,2.0,0,6.0
