,team,player,rating,position,pos_rank,flex,flexRank
1,Red Zone  Rockets,Patrick Mahomes,19.21,QB,1.0,0,2.0
2,Red Zone  Rockets,Saquon Barkley,13.36,RB,1.0,0,7.0
3,Red Zone  Rockets,Tyreek Hill,29.64,WR,1.0,0,1.0
6,Red Zone  Rockets,Tee Higgins,17.11,WR,2.0,0,3.0
7,Red Zone  Rockets,Chase Claypool,16.03,WR,4.0,1,1.0
11,Red Zone  Rockets,Elijah Moore,16.67,WR,3.0,0,4.0
13,Red Zone  Rockets,Pat Freiermuth,15.08,TE,1.0,0,6.0
15,Red Zone  Rockets,Tevin Coleman,5.37,RB,2.0,0,8.0
16,Final Deztination,DK Metcalf,21.55,WR,2.0,0,5.0
18,Final Deztination,Christian McCaffrey,20.38,RB,3.0,1,1.0
19,Final Deztination,Travis Kelce,25.84,TE,1.0,0,1.0
20,Final Deztination,Aaron Jones,24.62,RB,1.0,0,2.0
22,Final Deztination,Lamar Jackson,17.47,QB,1.0,0,7.0
24,Final Deztination,James Conner,22.12,RB,2.0,0,3.0
25,Final Deztination,Michael Pittman Jr.,17.77,WR,3.0,0,6.0
26,Final Deztination,Ja'Marr Chase,21.96,WR,1.0,0,4.0
34,Game of  Jones,Derrick Henry,28.52,RB,3.0,1,1.0
35,Game of  Jones,Cooper Kupp,29.59,WR,1.0,0,3.0
37,Game of  Jones,Joe Mixon,29.63,RB,2.0,0,2.0
38,Game of  Jones,Russell Wilson,14.52,QB,1.0,0,7.0
39,Game of  Jones,Mark Andrews,23.2,TE,1.0,0,4.0
40,Game of  Jones,Deebo Samuel,23.14,WR,2.0,0,5.0
41,Game of  Jones,Marquise Brown,17.31,WR,3.0,0,6.0
47,Game of  Jones,Austin Ekeler,34.95,RB,1.0,0,1.0
50,King's  Landry,Dalvin Cook,20.34,RB,1.0,0,4.0
51,King's  Landry,Darren Waller,16.63,TE,1.0,0,5.0
52,King's  Landry,Justin Jefferson,29.72,WR,1.0,0,1.0
53,King's  Landry,Clyde Edwards-Helaire,14.56,RB,2.0,0,6.0
54,King's  Landry,Chris Godwin,24.66,WR,2.0,0,2.0
56,King's  Landry,Justin Herbert,21.02,QB,1.0,0,3.0
58,King's  Landry,Dallas Goedert,16.11,TE,2.0,1,1.0
63,King's  Landry,Van Jefferson,14.11,WR,3.0,0,7.0
65,OC Gang,George Kittle,23.64,TE,1.0,0,4.0
66,OC Gang,Davante Adams,28.16,WR,1.0,0,2.0
67,OC Gang,Jonathan Taylor,32.62,RB,1.0,0,1.0
68,OC Gang,DeAndre Hopkins,20.73,WR,2.0,0,5.0
70,OC Gang,Alvin Kamara,24.6,RB,2.0,0,3.0
71,OC Gang,Aaron Rodgers,18.84,QB,1.0,0,7.0
75,OC Gang,Darrell Henderson Jr.,21.33,RB,3.0,1,1.0
76,OC Gang,Jaylen Waddle,19.07,WR,3.0,0,6.0
83,Sutton these  Nutz,Keenan Allen,22.25,WR,1.0,0,3.0
84,Sutton these  Nutz,Courtland Sutton,14.07,WR,2.0,0,7.0
86,Sutton these  Nutz,D'Andre Swift,21.67,RB,3.0,1,1.0
87,Sutton these  Nutz,T.J. Hockenson,21.05,TE,1.0,0,4.0
89,Sutton these  Nutz,Leonard Fournette,28.12,RB,1.0,0,1.0
90,Sutton these  Nutz,Tom Brady,20.2,QB,1.0,0,5.0
91,Sutton these  Nutz,Antonio Gibson,24.77,RB,2.0,0,2.0
93,Sutton these  Nutz,DeVonta Smith,10.47,WR,3.0,0,8.0
98,Da Coldest In the Game,Adam Thielen,20.35,WR,4.0,1,1.0
101,Da Coldest In the Game,Noah Fant,17.6,TE,1.0,0,8.0
102,Da Coldest In the Game,DJ Moore,21.84,WR,3.0,0,4.0
104,Da Coldest In the Game,Matthew Stafford,19.22,QB,1.0,0,6.0
105,Da Coldest In the Game,Najee Harris,28.94,RB,1.0,0,1.0
106,Da Coldest In the Game,Mike Evans,23.54,WR,2.0,0,3.0
109,Da Coldest In the Game,Cordarrelle Patterson,21.51,RB,2.0,0,5.0
110,Da Coldest In the Game,Stefon Diggs,26.06,WR,1.0,0,2.0
112,Team Ger,Josh Allen,18.56,QB,1.0,0,6.0
113,Team Ger,Ezekiel Elliott,28.95,RB,1.0,0,1.0
114,Team Ger,CeeDee Lamb,21.97,WR,2.0,0,3.0
116,Team Ger,Terry McLaurin,20.31,WR,4.0,1,1.0
117,Team Ger,David Montgomery,19.52,RB,2.0,0,5.0
118,Team Ger,Kyle Pitts,17.6,TE,1.0,0,7.0
121,Team Ger,Diontae Johnson,25.74,WR,1.0,0,2.0
123,Team Ger,Mike Williams,21.17,WR,3.0,0,4.0
